,弹幕
333,17岁体院团支书
334,毛宁很善良
335,我三岁，听得第一首歌
336,全损音质
337,我叫白云
338,以前就是自然
339,月落乌啼霜满天
340,曾经的王子
341,那年的那年
342,老歌真好听
343,来首比利金，NO 迈拉
344,对口型？不过那个时代条件可以理解
345,98年的来报道
346,时代的经典
347,当时叫mtv
348,好好听歌可好
349,好有意境
350,那个时候我还在妈妈肚子里
351,最爱的歌曲之一
352,太帅了
353,我可以！
354,93年正月的路过
355,转世的等我，98报道
356,颜值好高
357,91年的我最喜欢这首歌了，所有的歌都无法比
358,这歌是真好听啊
359,90年代会被永远怀念的
360,录的也是人家亲自唱的
361,我出生的前一年
362,至少一把火不是录的
363,词曲唱都是超级
364,我一直以为伴舞的是杨钰莹
365,太好听啦
366,气球哥
367,上古文艺范儿
368,这不是比什么中国有嘻哈强百倍？
369,好帅
370,惹
371,一起卡点
372,帅死了
373,那年我—7岁
374,奎哥66666
375,这一年我出生了
376,好有年代感
377,那年我初二了
378,我九个月了
379,这歌是真的好听
380,初代MV
381,那一年我还没出生
382,十五天后我出生了
383,经典白围巾
384,还有6年我就出生了
385,真帅
386,毛宁真的帅
387,帅
388,那年我刚出生，哈哈
389,当年太帅了吧
390,90后集合
391,太帅了
392,来了，
393,好帅！！！
394,这一年，我刚出生
395,帅
396,好听 好帅
397,歌词真的太牛了
398,帅就一个字
399,太帅了
400,延迟心动
401,太绝了
402,好帅好帅
403,怎么没否认？大家偏要信谣言呐！！
404,好像赵明明
405,在有6个月我就出生了
406,广场舞？？？
407,好听
408,他后来没消息了是因为被刺杀。而不是因为gay
409,毛宁真的很帅，觉得他和杨钰莹好配
410,我还没出生这时候
411,真是帅
412,就算是同，也没什么啊
413,我也没出生，我97的哈哈
414,真的好帅啊
415,这年我出生了！
416,帅
417,帅到忧伤
418,起飞飞飞飞飞飞飞飞飞
419,毛宁广州军区文艺兵
420,毛宁的歌声古朴雅致
421,毛宁广州军区文艺兵
422,毛宁广州军区文艺兵
423,人呢？
424,李春燕
425,赵本山，涛声依旧了
426,当年我已经14岁了。
427,98来报道
428,好浪漫
429,他不是有老婆吗
430,颜值好高
431,是真的好听啊
432,真帅啊
433,当年我还没出生
434,好好听
435,这声线
436,再见九十年代
437,这是1993年春晚
438,我那年出生
439,他出柜的事一直玄得不行，一他没承认也没否认，媒体又一直传
440,好帅
441,被诽谤人
442,还有四年，我出生了
443,帅爆了
444,要就义
445,6666666666666666666啊啊啊
446,月落乌啼
447,我15天后出生
448,我出去了
449,90年飘过
450,来了
451,那时还能一个人唱完整首，现在不来个三人以上都唱不了了
452,好帅阿
453,我的童年
454,李春燕好美呀
455,伴舞蚌埠住了
456,这时候我3个月大
457,那年11
458,唱  月落伍迪
459,奎哥6666666
460,经典
461,刚好五岁
462,音质
463,我出生的那年
464,太帅了吧
465,好帅啊！
466,好帅啊
467,不能
468,确实帅
469,那年我出生了
470,04年的来了
471,麦在哪里？？
472,帅气
473,这就是杨钰莹
474,那一年我85岁
475,六年后我就出生
476,我还没出生
477,帅到我忧伤
478,好听哦
479,那年我78
480,杨钰莹
481,都是谣言
482,那年高一
483,歌词好美
484,帅死我了
485,我爸最爱的歌
486,还有11年我就出生了
487,好听
488,献哈达
489,那年大学毕业
490,王者陪练
491,好帅啊(✪▽✪)
492,uweuuhalaiin
493,99
494,太帅了
495,好听
496,太美了
497,17岁体院团支书
498,广州军区文艺兵
499,破船
500,总觉得伴舞没什么用
501,前面00年的站住，我也00年，觉得很好听！
502,内地黎明
503,好听好看
504,走位666
505,江枫渔火对愁眠
506,我还三年半
507,我还没出生
508,我还没出生
509,好帅
510,三岁啦
511,好帅
512,好帅
513,98来报道
514,诗情画意
515,我还没转世
516,负七岁等等我我
517,好像韩强
518,那时候3岁
519,那年我四岁了
520,经典
521,那时候没有耳麦
522,好听
523,啊……还是很帅的
524,还是老哥好听
525,真的很帅
526,气质真好
527,毛宁真帅啊
528,80年来报道
529,那年我18岁
530,还有9年我就出生了
531,太帅了
532,好帅啊……
533,奎哥6666
534,奎哥66666
535,奎哥666
536,耳麦呢
537,好帅啊
538,出生3年0.0
539,还没有我
540,我2岁
541,80后前来报道
542,连麦都没有
543,居然不是杨钰莹
544,身材也好绝 
545,那年我两岁了
546,古风古韵
547,80后老了
548,音色好好听
549,那年，我一岁
550,真好看啊
551,好帅啊啊啊啊啊啊啊啊
552,我02，特别喜欢这首歌
553,爷青回
554,帅
555,我12岁
556,谣言
557,好帅！！！！
558,02的来了！！！！！！！！！！！！！！
559,好帅啊
560,6
561,80后
562,好听
563,好帅惹
564,喜欢编舞
565,我出生
566,风流
567,90年路过
568,猫宁是jay吗
569,我97
570,帅到我忧伤
571,温润如玉
572,真帅气
573,毛宁广州军区文艺兵
574,气质好好
575,毛宁广州军区文艺兵
576,毛宁广州军区的
577,广州军区文艺兵
578,九岁大哥
579,1996出生的
580,979797
581,麦呢？？
582,黄金时代  
583,帅啊啊啊啊啊啊
584,那一年我1岁零9个月
585,我还没出生呢- -
586,这年我出生了
587,那年我一岁
588,喜欢编舞
589,98来报道
590,好听
591,还没有我呢
592,93年路过
593,那年13
594,02年的路过
595,2333333333333
596,那年我-5岁
597,321
598,一把火不是录得
599,一
600,玉女已迟暮，金童踪迹无。
601,82报到
602,2021/12/22
603,我一岁了
604,神曲
605,原唱齊豫
606,90年代
607,我负七岁
608,01年
609,98年
610,那年我3岁了
611,我1岁
612,好好听
613,经典
614,五岁了
615,还有四年我出生。
616,我妈最爱
617,95
618,刚刚出生的我
619,我3岁
620,huanaici
621,这年我出生了
622,91路过
623,温润如玉
624,00的来了
625,破船
626,我两岁
627,00年路过
628,这时我刚出生20天
629,我还没出生
630,我刚好12
631,98来报道
632,完
633,抱我啊
634,经典阿！
635,来听原版的
636,1993年，我1岁啦~
637,好帅啊
638,8个伴舞
639,美
640,6666
641,好帅
642,我六岁
643,苏州枫桥
644,玉田是你吗
645,-11
646,我还没出生
647,一
648,刚出生
649,我九岁
650,93年3岁了
651,93年我-2岁
652,帅啊啊
653,经典
654,初三
655,我半岁了
656,金童玉女
657,qg
658,没人关心你几岁
659,掐指一算 我才十个月
660,前女友：你特么才是客船
661,毛宁年轻时候的颜值，现在的我都不敢说稳压一头
662,你在帅，帅的过毛宁吗
663,男神
664,不是只有像猴子一样跳才叫伴舞
665,小时候流行歌都会哼几句，还有任贤齐的《对面的女孩看过来》
666,帅到想搞基
667,原唱就是毛宁好吗？神特么的齐豫，这是内地的歌
668,当年上职高，学校所有男人一人一条白围巾
669,跟我爸一样大
670,金童玉女都被人搞了
671,金童玉女
672,走那两步看起来好舒服
673,99的弟弟
674,能否登上你的破船
675,讨饭声依旧
676,沈阳人
677,这舞蹈 欣赏不来
678,假唱
679,毛宁估计是0.5
680,我也想当那个女生！
681,以前春晚都是对口型
682,能 否 登 上 你 的 破 船
683,这画面好吓人
684,头发是真的多
685,我出生那一年
686,毛宁沈阳人，1.8米
687,对口型吧
688,现在那些小年轻跳的是啥舞啊，低俗恶俗又恶心
689,现在的舞蹈张牙舞爪，恶俗又恶心
690,w93年小学还没有毕业啊
691,别登了  我泰坦尼客
692,那年我还在吃奶
693,能否登上你的破船
694,女生的衣服漂亮
695,喜欢男的又不是错
696,这个编舞很有想法
697,那年四岁
698,金童玉女
699,可惜了
700,吸毒了
701,什么小姐姐那是你大娘
702,能否登上你的破船
703,这舞跳的鸡皮疙瘩都起来了
704,我爹妈才结婚
705,那年我还没死，还没投胎
706,你们这些小孩不懂了吧，毛宁和杨钰莹是当年金童玉女
707,-3岁
708,假唱毁童年
709,妈妈歌词本上的歌
710,陈晓琪老师好厉害 还写过九九女儿红
711,陆毅比毛宁差远了，都不是一个咖位的
712,金童玉女
713,天呐，为啥我生的这么晚，毛宁也太帅了吧
714,这么一比，同时代颜值真没一个比得上毛宁的
715,毛宁帅的就像犯罪
716,才知道原来毛宁这么帅
717,当年的大东北 人才济济
718,同性恋
719,尾音处理真有特点啊
720,霸哥的给我站住！
721,没有话筒怎么唱的？假唱吧
722,毒船
723,24岁的毛宁
724,这歌词 吊打那些无病呻吟的
725,我八岁
726,这个时候我爸还是单身狗
727,毛宁有一米八
728,音质一般
729,能否登上你的破船
730,我妈说她大学毕业时这歌火的一塌糊涂
731,假唱有没有
732,人家那个时候可没有整容美颜啊
733,好喜欢这个视角
734,感觉毛宁和任泉有点像啊 有种风流少年的感觉
735,98年的 KTV必点 每次都被同龄人笑
736,好
737,这走位走位
738,-8岁
739,如果放现在 后面的马上就是女一号了
740,登上你滴破船
741,唱歌是没有口音的，这是常识
742,这走位走位
743,古德毛宁
744,这小姐姐头发真多 一个麻花辫顶我全部头发了
745,那年10岁
746,毛宁身高186
747,小时候特喜欢毛宁
748,词曲是我妈闺蜜老公
749,地包天
750,1993年烂大街
751,这个小姐姐现在也有五十多了
752,人家没出柜！
753,毛宁自己否认是gay
754,能否登上你的破船
755,他是否是gay不影响大家喜欢他
756,他是gay
757,侧颜堪称完美
758,后面还有一个小姐姐在伴舞
759,想起了我高中那个妞儿
760,哪里像啊
761,这动作好绅士
762,换成杨钰莹多好
763,2岁
764,可惜了，
765,那年9岁
766,93年你妈上初二？？ 孩子你多大啊 你妈都得叫我哥了
767,这个舞蹈有点怪
768,弹幕的小弟弟小妹妹们好可爱
769,以前的舞台男团，跟呆子一样。歌曲不赖
770,总觉得他长得像我姐姐，后来果然，他不喜欢女的
771,毛宁是真的帅，从影不会差于陆毅
772,毛宁是运动员出身。
773,up主熟读国史大纲
774,这个舞蹈。。
775,浓眉大眼大长腿
776,眼睛很大
777,人家没出柜 
778,翘屁嫩男
779,盛世美颜
780,93年的我小屁孩一个
781,毛宁不是和杨钰莹配合，估计还没有李春波有名，只有这一个代表作
782,以前都可以假唱吗
783,南京
784,帅的不要不要的！
785,2岁
786,这首歌跟这个舞真的不配，好别扭
787,女伴很漂亮
788,24岁的毛宁
789,这假唱
790,这舞蹈 现在看  好傻。。。。哈哈哈哈
791,那年8岁，岁月啊
792,那年8岁，
793,词写的真好！
794,93年上小学，春节的时候还是大班，时间真快
795,我姥姥很喜欢毛宁，她去世八年了
796,大长腿
797,还是喜欢老歌
798,你们想象下这是现在广场舞大爷大妈们年轻的模样！
