,弹幕
344,还是PR标准音频处理
345,哈哈哈哈，看你视频不给你投币。
346,刚看连续剧似的
347,夺笋吶
348,怕了怕了
349,商业机密就是试用期无理由解雇吧
350,硬核
351,我要关注提醒一下，哈哈哈
352,哈哈哈哈哈哈哈
353,夺笋呀。。。
354,但劳动者仍然是弱势，没有工会，劳动者个人很难跟公司斗
355,笑死
356,有无数条生命值！
357,b站真下架了啊……
358,反驳的好
359,哈哈反击的好
360,这帽子扣的，直接说猪摸摸想灭绝人类算了
361,hhhhhhhhhhhhh
362,夺笋那
363,仲裁区up主～
364,夺笋呐
365,哈哈哈哈哈哈太好玩了
366,怕了~怕了~
367,注意souhu和sougou曾经的关系哈哈，早就卸载了那纳吉输入fa了
368,喵喵喵喵
369,多笋呐
370,哈哈哈哈，互相支持
371,认知警告
372,哈哈哈，清君侧
373,倒下一个我，还有千千万万个我
374,其实律师是卧底
375,哈哈哈，为了流量不折手段啊。。。
376,多笋呐
377,怕了怕了，爱了爱了
378,他们是真的怕了
379,握 卜 啪
380,怕了，真的怕了
381,哈哈，以前我听过原版
382,怕怕怕
383,战哥起！
384,好怕啊，哈哈哈哈哈
385,怕了怕了
386,嘲讽拉满
387,今天是个好日子
388,哈哈哈哈我笑得好大声
389,怕了怕了
390,哈哈哈哈
391,此地无银三百两
392,5分钟，热乎
393,这个bgm用的好w
394,哈哈哈哈哈
395,告诉你们，好怎么执行也被一条条写好了，不走流程的也是执法不规范的
396,加粉丝。
397,这公司干啥的我都不知道。。。。
398,阳谋，看是输，不看也是输。UP细致。
399,被动离职是什么鬼？
400,撤稿函
401,怕了怕了~~
402,老偷换概念了233
403,笑死了
404,律师是卧底啊
405,狐悲？？？
406,牛批
407,正能量满满
408,up很有意思
409,哈哈哈哈
410,怕了怕了
411,达瓦里希
412,劳动仲裁为什么要下家
413,怕了怕了
414,多笋啊
415,哈哈哈哈哈哈
416,哈哈哈哈哈哈
417,前方高能！
418,前方高能！
419,夺笋啊
420,我都看过了
421,怕了怕了
422,怕了怕了
423,怕了怕了好怕怕哦
424,好怕怕╮(╯▽╰)╭
425,保护好自己啊大大
426,哈哈哈哈哈哈哈哈哈哈
427,哈哈哈哈哈哈哈哈
428,善意欠薪
429,录音和名誉有什么关系忽悠谁呢？
430,哈哈哈哈哈
431,好家伙
432,给up主三连支持
433,23333
434,你好坏哦 我好喜欢～
435,哈哈哈哈哈哈哈纳尼
436,打工人需要工会
437,哈哈哈
438,怕了怕了
439,三连了三连了给你三连。
440,有道理！！
441,此地无银三百两
442,仲裁
443,哈哈哈哈哈哈哈哈哈哈
444,好家伙
445,哈哈哈哈
446,币给了(≧∇≦)/，战斗吧少年
447,好红红火火恍恍惚惚呵呵哈哈哈
448,加油，相信你能赢！！
449,三连已给！
450,逆转裁判4的音乐
451,棒棒哒
452,确实现在很多公司过分了
453,劳动仲裁和公司是联手的
454,哈哈哈哈哈哈哈哈
455,哈哈哈哈哈哈哈哈哈
456,哈哈哈哈哈哈哈哈哈
457,哈哈哈哈哈哈哈哈哈哈哈哈
458,团结一心
459,录音合法，这是证据
460,哈哈哈哈哈哈哈
461,妙啊
462,夺笋啊
463,怕不怕，不怕又怕
464,怕了哈哈哈
465,绝了哈哈
466,哈哈哈哈
467,张朝阳表示很精彩
468,已经下架了
469,哎呦怕了怕了
470,首页通知书
471,笑死了，我这边也怕了
472,我们公司加班从来没加班费，裁员从来不赔偿。
473,支持一波
474,牛批
475,好家伙
476,还好你不是跟企鹅对线
477,笑死我了哈哈哈哈
478,三连已给，up主加油！
479,开除试用员工不就是商业机密吗？
480,怕了怕了
481,能通天下科技有限公司
482,怕了哈哈哈哈哈
483,ohhhhhhhhhhhhhhhhh，回去找找
484,触不及防
485,录音可以的
486,不是对私吗？对私了还侵犯公司商业机密？
487,其实这些几乎都是企业公关部撰稿，亲身体验
488,超怕
489,三连支持了 跟它们刚
490,哈哈哈哈其实是
491,保护
492,哈哈哈哈哈哈哈哈哈哈哈哈
493,牛批
494,你好坏呀，我好喜欢哈哈哈
495,怕了，怕了
496,来了来了
497,哈哈哈哈！
498,录音合法合理
499,哈哈哈哈
500,笑死我了
501,抱抱，加油！
502,他们应该投个币
503,加油加油！
504,好家伙
505,来了
506,哈哈
507,音乐起
508,清君侧哈哈哈哈
509,第一个不能再上传了？
510,我是认知
511,应该让更多人看到
512,真的是无语了，我都目睹3次了
513,怕了怕了！
514,哈哈哈哈哈哈哈
515,现在我输入fa手机用讯飞，电脑用自带的，一点都不卡，以前不是这样的时候开始打字时卡的要死
516,太狠了
517,夺笋啊
518,好笋呐
519,自相矛盾
520,哈哈哈哈
521,某些流盲公司越是这样，我们越要反抗
522,哈哈哈哈哈哈
523,不是同行是冤家吗
524,还行，一般怕
525,牛批
526,怕了怕了
527,认知怎么还没来
528,怕了怕了，哈哈哈哈哈哈
529,哈哈哈哈哈哈
530,有趣的公司
531,来啦来啦！
532,哈哈哈
533,商业机密难道是他们做假数据骗客户？
534,哈哈哈。
535,哈哈哈哈哈哈
536,加油！
537,怕了怕了，不怕不怕了
538,分公司不是法人，子公司才有法人资格，这个没问题
539,早都下载了
540,撤稿函
541,逆转BGM好评
542,哈哈哈哈哈
543,次次三连
544,好家伙，
545,加油！！！！！
546,逆转裁判
547,怕了怕了怕了怕了
548,怕了怕了
549,哈哈
550,支持
551,哈哈哈哈
552,好家伙
553,哈哈哈哈
554,好怕呜呜呜
555,认知？？？？
556,哈哈哈哈哈哈哈
557,哈哈哈哈草哈哈哈
558,三连拿去
559,哈哈
560,哈哈哈哈哈哈
561,起诉他诽谤你破坏网络和平！
562,哈哈
563,首页通知书
564,妙啊
565,加油！对抗资本，国家你不叫它是不会管的
566,所以自己没事，收到律师函我连看都不看
567,好家伙
568,妙啊
569,哈哈哈哈哈哈哈哈哈哈哈哈
570,绝了
571,保护！保护！保护！
572,妙呀
573,哈哈哈哈哈哈
574,没错
575,哈哈哈
576,无法无天了
577,怕了怕了
578,企鹅
579,怕死我了
580,花呗打钱
581,同志，好
582,哈哈哈  好害怕啊~！
583,好家伙
584,好怕怕哦~~
585,哈哈哈哈哈
586,哈哈哈哈哈哈哈！棒！
587,怎么就第5话了？我错过了啥？是被下架了吗？
588,哈哈哈哈哈哈哈
589,好家伙
590,什么都是机密
591,他们不是也录了？天啊
592,怕了怕了
593,花呗打钱
