,弹幕
757,小心高压线！！！！！！！！！！！！！！！！
758,低空通场
759,所以，怎么降落？
760,比博燃！！！
761,货拉拉，打钱！
762,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
763,降落失败
764,迫降失败
765,下次一定
766,塑料机身
767,膜拜一下
768,牛逼！！
769,啊啊啊啊好帅
770,手机没开飞行模式吗
771,可以拿去拍特效
772,襟翼错了
773,要失速了
774,我2021运势怎么样
775,牛批
776,要是引擎也是国产就好了
777,等待起飞
778,牛皮
779,下面有电线，真能飞么？
780,welcome aboard
781,厉害
782,可以弄个烧油的
783,清空跑道
784,失速！！！STALL
785,应该堵能不能安全降落
786,那么简单哪
787,3D打印的零件？
788,手机危～
789,降落失败
790,不过分
791,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
792,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
793,还有襟翼
794,牛逼
795,KT板
796,又来了
797,这防抖真可以
798,关注了
799,v1
800,比伯燃
801,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhh
802,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
803,帅的飞起
804,航拍中国
805,下次一定
806,我不猜，不就不用投
807,卧槽
808,起飞，飞飞飞
809,很快呀！
810,货拉拉拉不拉拉布拉多
811,哈哈哈 厉害
812,晕机……
813,卧槽！
814,没有降落模式
815,这无线信号还真是好啊
816,这不比博人传燃？
817,舒克又有好玩的了
818,(●°u°●)​ 」
819,真有人以为是纯国产的啊
820,先给两个币
821,c919准备起飞
822,牛皮
823,不能动怎么飞咯，没看装了舵机的。。。
824,KT机
825,长得也是真的帅
826,这手机防抖性能真不错
827,ohhhhhhhhhhhh
828,带猛
829,牛批
830,看时长.先不投币
831,货拉拉好评
832,可以起飞
833,无辜
834,牛逼
835,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
836,没有襟翼の降落
837,不会影响飞机的气动布局吗
838,bilibili
839,有风切换
840,反推失效
841,[OHHH]
842,下次丕定
843,降落失败，MAYDAYMAYDAY
844,nani
845,卧槽
846,我
847,歼919C
848,手机危
849,o----------------------------------------------------------------------------------------------
850,ohhhhhhhhh
851,wp_#tbwdyw02
852,STALL！STALL！STALL！
853,bilibili
854,上面的，这不是STI，是三菱蓝瑟
855,ohhhhhhhhhhhhhhhhh
856,垂直起降
857,太强了
858,下次一定
859,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
860,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
861,马来西亚航空公司 
862,骄傲
863,涡轮是什么？那不是涡喷吗
864,下次一定
865,风景不错
866,KT板不贵
867,南航919e3口脱离
868,南航919三转报
869,联系离场122.41，再见了
870,起飞！南航学子前来报道！
871,BGM来了
872,牛批
873,完蛋
874,V1
875,哈哈哈哈哈哈哈
876,当战斗机来呢
877,过kt版，广告行业专业
878,乐迪？！
879,提前牛批
880,中国机长
881,起飞起飞
882,可以可以
883,牛逼啊
884,ohhhhhh
885,ohhhhhhhhhhhh
886,强
887,手机危
888,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
889,正片开始
890,正片开始
891,瑞安着陆
892,降落失败
893,上头
894,卧槽
895,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
896,下次一定
897,没有等到迫降
898,牛
899,牛逼
900,牛逼
901,地面效应
902,酷
903,八该一反对
904,ctrl+w自爆
905,翻跟头吗？
906,拉布拉多;  ??
907,买定离手
908,卧槽！可以666
909,卧槽
910,措不及防
911,首页通知书
912,50包邮
913,复飞
914,想看降落
915,复飞！复飞！！
916,卧槽
917,还要发动机烧钱啊
918,Ohhhhhhhhhhhhhhhhhh)hhhhhhhhhhhhhhhhhh
919,歼20上chaiseb
920,货拉拉拉不拉拉布拉多？
921,币有了
922,全塑料半硬壳结构
923,力大砖飞
924,卧槽
925,哪有三十，22
926,复飞
927,3D打印机？
928,C919可以进跑道
929,注意电线呀
930,迫降
931,怎么下来呢
932,国航拉飘
933,不愣私
934,复飞
935,帅
