,词语,次数
628,更灵,1
629,这些,10
630,复杂,4
631,理得,1
632,比较,5
633,比较简单,1
634,简单化,1
635,这段,3
636,不太好,1
637,掌握,2
638,总比,1
639,换,4
640,翘,1
641,看电视,1
642,看来,2
643,确实,2
644,没,19
645,工作,7
646,专业,8
647,原来,2
648,剧情,3
649,好熟,1
650,熟悉,1
651,映射,2
652,负责,4
653,提问,3
654,——（,1
655,破,1
656,音,3
657,坚持,16
658,从政,1
659,变成,1
660,政治家,9
661,治家,9
662,网络,1
663,网络安全,1
664,安全,1
665,不会,9
666,电脑,3
667,反应,3
668,过来,7
669,波莱罗,9
670,精通,1
671,谢谢,6
672,肖斯塔科维奇,1
673,斯塔,1
674,科维奇,1
675,维奇,1
676,带,6
677,新,10
678,代代,1
679,代代相传,1
680,相传,1
681,650,4
682,个,33
683,选区,3
684,发现,7
685,更新,1
686,完,3
687,合集,5
688,成也萧何,1
689,败也萧何,1
690,伯明翰,4
691,出发,1
692,发到,1
693,伦敦,2
694,上班,1
695,蛮,1
696,Euston,1
697,毫无,1
698,毫无办法,1
699,办法,2
700,。。。。。。。。。。。。。。。。。。。。。。。。。。。,1
701,坑,1
702,挖,1
703,不当,1
704,当家,1
705,柴米,1
706,贵,3
707,故意,1
708,屠龙,1
709,术,2
710,一段,1
711,真实,3
712,小丑,1
713,竟是,4
714,星际,1
715,穿越,1
716,不敢,6
717,公开,1
718,NASA,1
719,饭,1
720,吃不饱,1
721,航天,2
722,头晕,1
723,NewStreet,1
724,打字,6
725,最上,1
726,上面,1
727,剩下,5
728,下半,1
729,YPM,1
730,一般,1
731,容忍,1
732,目的,2
733,干,3
734,高,2
735,离谱,2
736,计划,2
737,计划书,1
738,说完,1
739,直接,18
740,就要,1
741,帝国,1
742,博,4
743,一集,2
744,拿,3
745,回,1
746,母,1
747,提到,1
748,很多遍,1
749,多遍,1
750,腻,1
751,弗兰克,36
752,兰克,39
753,埃,4
754,瑟,7
755,尔,6
756,代号,1
757,雪,3
758,貂,1
759,抽象,3
760,工厂,3
761,模式,2
762,别,7
763,走,2
764,上世,1
765,世纪,3
766,70,1
767,年代,1
768,肯定,3
769,定有,1
770,造,1
771,核武,1
772,用,3
773,练,8
774,类,1
775,字幕组,1
776,神,5
777,下属,5
778,几万,1
779,几万人,1
780,呢,23
781,妈,4
782,耶,6
783,箱,2
784,开,5
785,哇,3
786,ignorant,1
787,is,19
788,power,1
789,安排,4
790,明明,1
791,明明白白,1
792,白白,1
793,常务,9
794,次长,3
795,主抓,1
796,业务,1
797,超,5
798,最近,5
799,网上,1
800,找,10
801,不到,9
802,这时,3
803,这时候,3
804,申论,1
805,大哥,2
806,爸爸,1
807,哦,19
808,～,3
809,。。。,16
810,bgm,7
811,肖,1
812,二,1
813,前面,3
814,和珅,1
815,可爱,4
816,等,16
817,两次,1
818,副手,1
819,做事,2
820,最高,1
821,代表,5
822,表观,1
823,发言,1
824,吉姆,18
825,双面,3
826,面人,3
