,弹幕
462,怎么资料全是视频没有课件啊
463,小孟磊学java冲冲冲!!!!
464,怀挺
465,灬
466,大学生开始内卷了吗
467,挺好
468,卷死友商
469,报道[呲牙]​
470,宋宋老师
471,小邱十天杀穿JAVA
472,给力
473,学习打卡
474,Java有风险，入行需谨慎，不懂操作系统，计算机网络，数据库，数据结构的走不远，非科班的还是考公去吧
475,Java有风险，入行需谨慎，不懂操作系统，计算机网络，数据库，数据结构的走不远，非科班的还是考公去吧
476,Java有风险，入行需谨慎，不懂操作系统，计算机网络，数据库，数据结构的走不远，非科班的还是考公去吧
477,Java有风险，入行需谨慎，不懂操作系统，计算机网络，数据库，数据结构的走不远，非科班的还是考公去吧
478,早起学习​
479,建议充钱
480,回来那啥一下
481,呼兰不搞脱口秀，开始搞教育了
482,眼睛在瞟哪儿呢？信不信我mua你一口
483,怎么让字体变大
484,nb
485,这么多人在看，流批啊
486,打卡学习
487,nice
488,秃头的开端
489,学习打卡
490,666
491,百人观看，离谱
492,趁别人午睡，打卡学习
493,代理
494,717
495,wee woo
496,jjjjjjjjjjjjjvs
497,真是nb
498,海狗人参丸
499,该充钱了
500,什么时间学习都不晚 加油
501,nice
502,从入门到入土的开始
503,挺好
504,2021/11/29晚上第一天开始，加油~
505,打卡 开始学！
506,尚硅谷牛皮!!!!!尚硅谷牛皮!!!!!!!!!!!!!!!!!!!!!尚硅谷牛皮!!!!!!!!!!!
507,天不生我尚硅谷，java万古如长夜
508,同样占4个字节，为什么floatL比int的范围还大?
509,找资料哈哈
510,阿姨学Java
511,打卡打卡打卡
512,这个手机扫码的演示动画是用什么做的？
513,兄弟们别学java了，培训班的太多了java面试卷的离谱，c#和.net缺人的很
514,横扫僵尸
515,小明你能看到么
516,‘’‘’‘’‘’‘’‘’‘’‘’‘’‘’
517,豆腐饭饭
518,冲冲冲
519,哈哈，老师跟我想像的样子不太一样
520,小草莓来喽
521,没有难学的技术
522,猛点鼠标​
523,见到宋宋老师真人
524,内卷的晚上
525,搬砖搬砖
526,nb
527,nb
528,为什么大晚上3点有48个同僚
529,键盘敲烂
530,"推荐恒星播放器,1.5 1.7 2.0"
531,挺好
532, 冲冲冲卷死在路上
533,宋老师 YYDS
534,每天一碗康师傅 泡起来！
535,早
536,The Relation Of Multi Objects
537,yyds
538,一起努力！
539,..
540,阿啊哈哈   时隔六个月
541,大爱硅谷
542,现在在看的用红字
543,180人
544,在线的人用红字
545,JavaSE最全，没有之一
546,搞搞搞[加油]​
547,稳如老狗
548,流口水[呲牙]​
549,优优优秀啊[呲牙]​
550,渣娃
551,leis do it
552,扎娃
553,勇敢牛牛，不怕困难[打call]​
554,学习交流
555,编程入门神器
