,弹幕
347,童年啊！
348,经典
349,我发现了什么？
350,03的童年
351,童年！！！！
352,04爱了
353,00年的回忆
354,05哈哈哈哈
355,宝藏啊
356,06的表示天天看
357,艾泽拉斯？
358,看看我发现了啥？
359,skr
360,好好听啊！！！！
361,04的报道
362,04点
363,skrskr
364,超喜欢！！！！！
365,回忆啊
366,爷青回！！！
367,爷青回！！！！！！
368,真不错
369,泪目
370,須看西遊釋厄傳
371,牛逼牛逼太牛逼了
372,我发现了什么
373,经典啊
374,谢谢up
375,吴签时代考古
376,八戒是榕榕姐配的音
377,哈哈
378,呜呜呜呜激动
379,我爱你up主！！！
380,超喜欢！！！！！爱了爱了爱了爱了爱了
381,赞赞赞赞赞
382,skr
383,好酷
384,牛逼
385,爷青回
386,需看西游释厄传
387,爷的童年
388,up牛逼！！
389,爷青回
390,谢谢？
391,哎呀妈呀
392,童年啊
393,酷啊
394,uh
395,感谢up主！
396,牛逼
397,啊啊
398,skr
399,我的童年啊
400,童年回忆啊
401,牛逼
402,俺的青春
403,先三连再说
404,02的我超爱
405,为了艾泽拉斯
406,爷的童年
407,太燃了
408,中国话？
409,哈哈哈哈哈
410,2020年考古
411,凌晨来追童年
412,帅！！！
413,爱了爱了
414,牛逼
415,泪目
416,6年了啊
417,05来也！
418,97
419,3报道
420,05报道
421,爱死这个OP了~
422,爷青回
423,爷青回
424,哈哈哈！
425,爷青回
426,哈哈哈
427,爷青回
428,泪目
429,全体起立
430,爷的童年！
431,我的宝贝
432,吴签时代前来考古
433,爷靑回
434,童年啊
435,爷青回!
436,、、【‘】【=】’、
437,爷青回！
438,牛逼
439,帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅
440,大宝贝哎
441,童年最爱
442,我的妈呀
443,童年啊
444,00泪目
445,(>_<)竟然有
446,童年啊
447,05看过
448,2020疫情考古
449,童年啊
450,我都20了
451,爱了爱了
452,04看过
453,哇啊啊
454,谢谢up
455,01
456,06
457,05
458,! ! ! ! !
459,童年回忆
460,呜呜呜
461,我的童年
462,童年！
463,爷青回
464,泪目了
465,爷青回
466,爷青回
467,秦昕瑜在吗
468,02的
469,要哭了
470,04的童年
471,童年呀
472,小2到高2
473,04
474,02
475,02年路过
476,请问各位麻麻去世的时间的多少呀~
477,開闢從茲清濁辯
478,看我发现了什么好东西！
479,看我发现了什么好东西
480,沙老三最惨
481,童年
482,导致我这么怀念童年，你有不可推卸的责任。
483,童年啊，甄好遇上这么多同好
484,rap
485,老了老了
486,记得这个大腹便便
487,童年
488,童年
489,都是00后嘛就我一个90后老阿姨吗
490,事态模糊有谁能清楚
491,这个算不算rap？
492,哦我的上帝瞧瞧我发现了什么
493,看看我发现了什么大宝贝！
494,去rip
495,童年
496,唐僧老猥琐了
497,嘿！瞧瞧我看见了什么
498,rap
499,这是rap吗
500,米兰的小铁匠！！！！！周董！
501,细说不是胡说，改编不是乱编
502,好湿好湿
503,童年  泪目
504,嘻哈启蒙
505,工具人沙僧
506,吴亦凡退出直播间
507,教皇？
508,老子的童年
509,觉得这个版的猴子挺帅的
510,欲知后事如何
511,工具人沙老三
512,真的童年
513,逝去的童年，违背的青春。
514,这特么才是rap
515,夜爱了
516,谢罪警告
517,老了
518,童年
519,吃饱喝足去
520,看看这rap
521,不应该是搞猪八戒的吗？。。。
522,我的dna起反应了
523,童年
524,精光寺
525,吴挨打
526,这真的是沙雕之源
527,老子的童年
528,漂亮
529,童年
530,黑黑
531,童年
532,蛋黄的长裙
533,我找到了什么
534,干的漂亮
535,童年
536,这都有，我的妈
537,沙雕的开端
538,童年
539,我沙雕的根源啊
540,这个rap 绝了
541,黑人来抬棺了
542,童年
543,童年
544,鸡你太美
545,我沙雕的开始
546,哦上帝，瞧瞧我找到了啥
547,淡黄的长裙，蓬松的头发
548,吴亦凡进来学rap
549,童年
550,看我发现的大宝贝
551,精光寺
552,洗脑
553,老了啊
554,工具人沙僧
555,上海的沙雕片真不少
556,4岁看的
557,猪八戒是个女的配的音
558,教皇？
559,温故而知新
560,太TM经典了
561,是个狼人
