,弹幕
366,sans能商用吗
367,手写行吗
368,那我买的书都有？
369,打光太白了
370,手写
371,制作视频获得收益就是商用
372,我选择手写
373,不是，字它不是属于所有国人的吗
374,自创字体
375,猝不及防
376,utool
377,Unifont:?
378,？？？？？
379,思源字体
380,方正路过
381,什么是设计？
382,ai设计
383,有1吗
384,哪个国企公司会用整版字体
385,字由
386,思源
387,source code pro
388,小米蘭亭呢？
389,思源黑体YYDS
390,自己写。。。。
391,这名字山寨的可以。。
392,还是苹果的好用 
393,又是腾讯
394,不商用就行～
395,这段找原作者授权了吗？不是标注就行了
396,Snipast，我也在用
397,吃灰，再见
398,左边好看
399,右边安卓4.x字体
400,这语音是后期配的吧
401,楷体Gb2312
402,不商用没事啊
403,思源
404,绝了
405,角角
406,360。。可怕
407,很不错呀
408,爱了
409,Noto Sans/Noto Serif
410,还是喜欢新罗马
411,思源yyds
412,很多都没有
413,思源加一
414,GB2312
415,没想到
416,微软用中国字不要缴税？
417,GB2312
418,Noto
419,普惠天下第一
420,手写
421,roboto很强
422,算了吧，哪家路边的店用整版的字体
423,推荐下 OPPO Sans，免费商用
424,6:15
425,1.
426,字由
427,？？
428,还是左面的好一些
429,+
430,太麻烦了！还不如自己设计呢
431,英文少吗？
432,不知道
433,思源不是很好看
434,差不多因为都是黑体
435,GB2312，敢收钱么
436,会不会是钓鱼？
437,这个好
438,可以查的啊
439,前面的，宋体是明朝的，不是宋朝的。
440,360？
441,公司汇报算不算商用啊
442,现在什么都侵权
443,摄图网
444,思源yyds
445,思源+1
446,只用思源
447,手写
448,这不就是安卓的默认搭配吗
449,手写
450,鸿蒙字体
451,思源全部都免费好吧
452,觉得原版好看，配的太瘦了。
453,阿里牛B开源，腾讯字体还要收费
454,思源黑思源宋
455,庞门一般般啊
456,字由？
457,eee
458,手写
459,OpPO sans
460,comit sans
461,？？？
462,苹方
463,字幕算不算
464,怎么感觉差不多
465,邵老师呢
466,啥都侵权
467,360告辞
468,方正yyds
469,不是字由吗
470,OPPOsans
471,cyber
472,？？？
473,字體這一塊 就是噁心.
474,你们倒是自己设计一个出来看看啊....
475,说了是商用，你不商用不是随便用？
476,前面说的对，理直气壮说共有不把别人的劳动当劳动，你是真的有脸啊
477,不是，字形设计就不是创作吗，一个字有几十种形状，那都是属于你的吗？
478,方正还是算了吧 垃圾
479,雅晨小姐姐的手势好对称
480,去我收藏夹里吃灰去吧
481,AD block
482,颜真卿，柳公权的字体应该不犯法
483,思源黑体用了好久了
484,用手写
485,有课代表吗？视频太长了
486,不屑于用这么难看
487,确实是旁门左道 用别人视频都不备注下
488,吃灰去吧
489,草体
490,天啊你是妹子
491,自己都侵权
492,这人是脑-残，比如，腾讯会找阿德拉之怒的玩家赔款？当然是找阿德拉之怒官方！脑-残狗找存在感！啊呸！
493,当然啊，个人使用当然无所谓，凡是别人的东西拿去商用不经过人家同意不管什么都是侵权，国内版权意识太低了
494,楷体gb2312
495,中国字还要给别人钱？
496,自己写 然后用软件，转其它字体
497,unifont
498,害，有些人就是故意钓鱼，等你用就直接起诉你
499,大家吐口痰。
500,啰嗦
501,用个字体 还要查版权 好麻烦
502,你的字体能放生吗
503,啊？我封面一直用黑体！
504,字体设计课差点暴毙
505,Wing Ding字体不香吗
506,明白了用敬汉卿体
507,B站做视频，字体也算商用
508,comic sans
509,商用就不行了
510,<-一般人都接触不到商用领域，除非你拿这个字体做的东西去卖钱
511,说流氓的考虑过字体设计师要吃饭吗，而且个人用都是免费的，一般女人
512,这网站我用了6年了
513,求所有字体免费下载地址，
514,macos的好像都可以商用
515,字体收费，有点不要脸
516,黄油体？
517,牙齿没对称
518,这个网站好
519,- -
520,我不懂什么是商用…
521,前面的times new roman论文写的舒服吗？
522,用思源黑体
523,times new roman不在免费字体之列？
524,看到自己经常用的了
525,秦桧的宋体 有人交费了吗
526,了解下阿里巴巴普惠体
527,赵孟頫，王羲之，颜真卿，老祖宗的字不好用吗？都是渣渣
528,买本字帖字体随便用
529,流氓
530,废话广告连篇谁喜欢
531,锤子不就有这功能吗
532,360滚粗
533,369滚粗
534,说没明说的还不是自己没有注重知识产权
535,我用的是字体管家QAQ
536,对
537,用得起吗？？？？
538,那你就陪两倍的钱
539,当手机字体用
540,自己写的是nt吗？
541,真的有人会举报吗）
542,真不要脸啊
543,有商人的地方就有不要脸的规定
544,不要个逼脸，字体怎么就成了他们的财产，他死了最好
545,好家伙，收藏比点赞多（
546,什么跟什么啊
547,我们的字 不是人
548,草
549,哎  庞门正道标题体是你开发的吗？
550,汉字居然得用外国人给的字库，呵呵
551,？
552,北大方正貌似挺流氓的，，
553,毛线
554,什么都要钱了，铜臭
555,亲 这边建议不用字体。
556,马爸爸？！
557,不让用就别特么发出来
558,"Times new Roman, yyds"
559,以后要是看到和自己名字一样的东西事物，wtm直接投诉索赔
560,麻烦死了
561,阿门老婆
562,字体也能tm商用？
563,淘宝体免费，但是有点丑
564,思源简体
565,what fox say？！
566,自己多设计几款 全注册专利
567,如今已经死命薅思源黑了
568,粗书体不够大气，一般还是得自己加笔画
569,nb
570,镜头有点晃动
571,自己造不香吗
572,他不是倒闭咯嘛
573,破产字体呢？
574,腾讯，呵呵
575,毛体
576,用瘦金体，柳体颜体，宋体侵权吗
577,万年华康少女字体
578,受
579,恁家麦地两米下藏着啥？
580,赏360全家桶一套
581,弹幕这是哪版权了吗（默认弹幕就是黑体
