,弹幕
341,去年这三人已经在天堂团聚了
342,上帝的上帝
343,人类非物质文化遗产。
344,半部YM治天下
345,半部英剧治天下
346,这个不一键三连对不起我追到今天
347,感谢Up给我再次投币的机会
348,半部YM治天下！
349,小可爱伯纳德
350,英音真的好好听
351,其实已经四十年了
352,大魔王
353,有点像法家对百姓的要求
354,专业
355,这bgm是舰r的生煎么。。。
356,哈克的双面人生
357,他不是牛津的吗？
358,背景音乐好评，魔兽的狮王之傲旅店音乐
359,半部YM治天下
360,阿诺德不是剑桥就是牛津
361,半部ym治天下
362,半部英剧治带嘤
363,铁三角
364,政治上天真而已，只不过为人肯定还是有防人之心
365,已经不认识secretary这个词了
366,这是在映射什么
367,离谱啊 百万播放量
368,哈哈哈哈哈哈哈哈哈哈哈哈
369,我爱是大臣！！！！！
370,结构图好评
371,这属于世界难题
372,梦开始的地方
373,梦开始的地方
374,波莱罗舞曲耶
375,谢尔比家族
376,半部YM治天下
377,是大臣半部英剧治天下，还有半部是是首相，两部剧就是英国政治生态写实
378,真相和幸福不可兼得
379,阿诺德的口音超好听
380,不一样，日本门阀体系更严重
381,哈哈哈哈哈哈哈哈
382,小天使伯纳德
383,挖矿
384,不准确
385,这才是宫斗
386,贯口开始
387,时长太流批了
388,经典长难句
389,1900好
390,我好悲伤
391,比如要个厨子
392,经典长难句
393,合格的文官
394,650个？一村一个？
395,Bgm狮王之傲旅馆?
396,6666
397,哈哈哈哈哈哈哈哈哈哈
398,这不是疫情人数分布图吗？
399,终于养肥了，可以看了
400,苏联的剑桥。。。。
401,果断三连
402,教学
403,梦开始的地方
404,来啦来啦，三连啦
405,半部英剧治天下
406,半部YM治天下
407,不是牛津吗？？
408,一千台。。。怎么看的
409,背景音乐是波莱罗
410, 现在都有人说，高铁没用
411,来了
412,清白的良心？恩？
413,美国好好学学
414,哈哈哈哈我靠
415,多罗西才是人才
416,是大臣永远的神
417,我们三
418,记得是下木来着
419,反逻辑行为？
420,半部YM治天下
421,汉弗莱太迷人
422,好复杂！
423,就很强了~
424,阿诺德厉害
425,哈哈哈哈哈哈哈
426,来啦
427,大英良心汉弗莱
428,英国不管部？
429,剑桥三杰
430,汉弗莱阿普比耶夫斯基
431,小天使
432,说实话成了人类瑰宝了，这不是人间惨剧吗
433,梦开始了
434,伯纳德总是在看戏
435,《天真》
436,长得好像使命召唤11的boss
437,野党
438,半部YM治天下
439,半部YM治天下
440,愣头青
441,？？？？？
442,大佬来了
443,白花哈哈哈哈哈
444,全体起立！
445,哈哈
446,隐相
447,他为什么不能当农业大臣，因为他真的懂农业
448,愣头青
449,人杈
450,半部YM治天下
451,半部ym治天下
452,半部YM治天下
453,伯纳德翻译为助理比较好
454,哈哈哈哈哈
455,半部英剧治天下
456,半步ym治天下
457,哈哈哈哈哈哈
458,Ture 
459,这时候还不是爵士
460,秀肌肉了
461,哈哈哈
462,汉妃
463,倒背如流
464,hhh
465,纸牌屋
466,几百个直接下属不可能吧？
467,+++3+
468,胥吏。。。
469,半部YM治天下
470,开始晕了
471,笑死哈哈哈哈哈
