,词语,次数
887,类比,1
888,好多,4
889,不及,11
890,不及格,7
891,T,8
892,﹏,2
893,各位,2
894,报分,1
895,搞错,1
896,牛,48
897,逼,13
898,可惜,2
899,是从,6
900,从未,2
901,未上,2
902,130QAQ,1
903,119hhh,1
904,声音,11
905,好听,6
906,突破,3
907,历史,1
908,65,1
909,多分,8
910,少分,2
911,低,12
912,小姐,2
913,小姐姐,2
914,末了,1
915,以为,6
916,0,17
917,",",6
918,没到,1
919,放水,1
920,矛盾的普,1
921,普遍,1
922,普遍性,1
923,原理,5
924,指导,1
925,下,4
926,如果,5
927,双面,1
928,且,2
929,没救,3
930,绝望,3
931,这些,3
932,琢磨,1
933,不敢,2
934,神话,1
935,没错,10
936,那种,3
937,胶布,1
938,透明,1
939,贴,4
940,上面,3
941,撕下,1
942,撕下来,1
943,不用,6
944,撕,2
945,告诉,4
946,多少,6
947,套路,5
948,总觉,1
949,看错,1
950,无用,2
951,看来,2
952,理科生,3
953,苦恼,1
954,莫,2
955,时间,16
956,丢,2
957,前面,13
958,后面,4
959,有点,20
960,稳住,1
961,活,11
962,早点,2
963,魔法,34
964,大用,1
965,随便,2
966,卡,12
967,一百二,2
968,一百二十,1
969,一百二十多,1
970,百二,2
971,二十,6
972,二十多,2
973,一百三十,1
974,百三,2
975,初三,12
976,不配,3
977,崽,3
978,默默,4
979,走开,1
980,八,3
981,省,4
982,考选,1
983,填,1
984,那些,3
985,还行,2
986,常识,2
987,炸,3
988,ww,1
989,尖子,1
990,高分,3
991,醒,3
992,不过,4
993,过来,4
994,决定,5
995,命,3
996,棒,10
997,百,3
998,其他,4
999,五科,1
1000,戳,3
1001,花里胡哨,1
1002,浪费,2
1003,浪费时间,1
1004,费时,2
1005,费时间,2
1006,直呼,10
1007,内应,1
1008,七十,6
1009,七十多,3
1010,八十多,5
1011,默,1
1012,呜,1
1013,呃,3
1014,嗯,2
1015,一分,3
1016,个个,1
1017,小手,1
1018,手,7
1019,文言,5
1020,文言文,4
1021,硬伤,1
1022,很少,2
1023,翻,1
1024,怎么样,1
1025,才能,3
1026,准确,1
1027,准确率,1
1028,相同,2
1029,相似,1
1030,结构,1
1031,是不是,7
1032,大脑,1
1033,里安,1
1034,担心,1
1035,从没,3
1036,作,4
1037,目,3
1038,――,1
1039,段,1
1040,秋雨,1
1041,卑微,1
1042,105,8
1043,胀,2
1044,幻听,1
1045,流,4
1046,着眼,1
1047,眼泪,1
1048,两,3
1049,学期,3
1050,预警,4
1051,出来,9
1052,梗,7
1053,个人感觉,1
1054,不够,6
1055,姐妹,1
1056,试试,6
1057,撒,1
1058,致命,1
1059,必须,3
1060,毕竟,1
1061,竟是,1
1062,咱,2
1063,文字,5
1064,奇怪,2
1065,140,3
1066,＋，,1
1067,附近,1
1068,。。。。。。,1
1069,97,2
1070,普通,7
1071,普通人,1
1072,通人,1
1073,路过,13
1074,就是说,1
1075,醉,1
1076,万幸,1
1077,认识,2
1078,识字,1
1079,厉害,21
1080,左右,14
1081,大,17
1082,赞,6
1083,有种,2
1084,仨,1
1085,预留,1
1086,家人,2
1087,人们,2
1088,长条,1
1089,活页纸,1
1090,买来,1
1091,来用,1
1092,往上,1
1093,ok,4
1094,六十,3
1095,细,1
1096,一点,10
1097,满,4
1098,不出,2
1099,125,6
1100,的话,4
1101,参考,2
1102,哇,25
1103,刚好,4
1104,阶段,3
1105,竟然,4
1106,刮,1
1107,耳边,1
1108,耳边风,1
1109,阿,7
1110,下不来,1
1111,不来,1
1112,深入分析,1
1113,对过,4
1114,哭泣,1
1115,漂亮,2
1116,不止,1
1117,科目,1
1118,正反面,1
1119,反面,1
1120,嘤,9
1121,党,2
1122,12,2
1123,4,2
1124,78,5
1125,还算,1
1126,诗词,1
1127,和文,1
1128,十五分钟,1
1129,每个,2
1130,错过,2
1131,记不得,1
1132,不得,1
1133,2022,2
1134,届,1
1135,111,6
1136,考过,3
1137,级,10
1138,部,1
1139,只能,6
1140,正确,1
1141,改错,1
1142,忽,8
1143,马上,4
1144,上月,1
1145,抱抱,1
1146,抱佛脚,1
1147,佛脚,1
1148,104,3
1149,魔咒,2
1150,够,4
1151,表达,2
1152,玩意,1
1153,最多,2
1154,不如,2
1155,哪怕,1
1156,那么,7
1157,书面,1
1158,六七,3
1159,六七十,2
1160,送给,1
1161,开心,2
1162,三生,1
1163,认真,5
1164,平均,2
1165,没下,1
1166,下过,1
1167,中考,5
1168,背诵,2
1169,懒人,1
1170,？？？,16
1171,最高分,1
1172,86,1
1173,哪儿,4
1174,really,1
1175,true,1
1176,爪,2
1177,长见识,1
1178,长见识了,1
1179,见识,1
1180,呜呜,46
1181,有时候,2
1182,前,24
1183,好好,22
1184,谢谢,37
1185,监控,2
1186,人,27
1187,被,21
1188,套,9
1189,讲究,1
1190,融汇,1
1191,融汇贯通,1
1192,贯通,1
1193,教我如何,1
1194,如何,1
1195,考到,5
1196,文班,1
1197,班级,3
1198,初二,3
1199,后发,1
1200,发奋,1
1201,舒服,2
1202,本年,1
1203,不上不下,1
1204,不下,1
1205,很烦,1
1206,烦恼,1
1207,为啥,4
1208,身上,1
1209,安,4
1210,后期,1
1211,不稳,2
1212,没看,10
1213,看过,8
1214,淦,8
1215,敢,6
1216,信,2
1217,第二届,1
1218,二届,1
1219,小白鼠,1
1220,白鼠,1
1221,报道,11
1222,哥,9
1223,第一届,1
1224,自求,1
1225,自求多福,1
1226,多福,1
1227,优秀,1
1228,对了,6
1229,一百零三,1
1230,零三,1
1231,不至于,3
1232,至于,4
1233,啥,14
1234,嚯,4
1235,又,17
1236,走神,2
1237,分段,1
1238,，，,2
1239,快,26
1240,却,1
1241,七八,3
1242,七八十,3
1243,辽,2
1244,学到,3
1245,山东,14
1246,截,1
1247,屏,1
1248,干嘛,2
1249,愣,1
1250,字音,1
1251,字形,1
1252,冲,3
1253,鸭,1
1254,高考题,1
1255,考题,1
1256,题型,2
1257,确定,4
1258,具有,1
1259,选对,1
1260,理由,2
1261,♡,1
1262,emm,1
1263,恐怖,3
1264,嘛,20
1265,请,4
1266,收下,1
1267,膝盖,1
1268,停留,1
1269,留在,1
1270,实是,3
1271,两分,3
1272,king,1
1273,此,3
1274,芜湖,1
